address,city,description,language,location/lat,location/lng,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,phone,rank,price,state,street,totalScore,title,url,Competitor Website
"640 Spence Ln, Nashville, TN 37217",Nashville,,en,36.1394881,-86.72365,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(615) 360-9093,52,,Tennessee,640 Spence Ln,,Certified Roofing & Gutters,https://www.google.com/maps/search/?api=1&query=Certified%20Roofing%20%26%20Gutters&query_place_id=ChIJC0euVrZoZIgRUug9zlTBIVA,
"712 Massman Dr, Nashville, TN 37210",Nashville,"Contractor supply chain stocking doors & windows, lumber, drywall & hardware.",en,36.150757,-86.7080521,Monday,7 AM to 4 PM,Tuesday,7 AM to 4 PM,Wednesday,7 AM to 4 PM,Thursday,7 AM to 4 PM,Friday,7 AM to 4 PM,Saturday,Closed,Sunday,Closed,(629) 910-7755,70,,Tennessee,712 Massman Dr,3.8,Builders First Source,https://www.google.com/maps/search/?api=1&query=Builders%20First%20Source&query_place_id=ChIJQ2YAsd1oZIgRIZysyQMSSHw,
"101 Spence Ln, Nashville, TN 37210",Nashville,,en,36.161761,-86.721745,Monday,8 AM to 5 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,Closed,Sunday,Closed,(615) 874-8620,86,,Tennessee,101 Spence Ln,3.5,Installation Group,https://www.google.com/maps/search/?api=1&query=Installation%20Group&query_place_id=ChIJI3GL05JoZIgR8irgVoghHqU,
"718 Division St, Nashville, TN 37203",Nashville,,en,36.1501612,-86.7787998,Monday,7 AM to 8 PM,Tuesday,7 AM to 8 PM,Wednesday,7 AM to 8 PM,Thursday,7 AM to 8 PM,Friday,7 AM to 8 PM,Saturday,7 AM to 8 PM,Sunday,7 AM to 8 PM,(888) 412-5535,12,,Tennessee,718 Division St,5.0,Nashville Roofing Experts,https://www.google.com/maps/search/?api=1&query=Nashville%20Roofing%20Experts&query_place_id=ChIJfUzX3SdnZIgRbzlF8lDUb1s,
"520 Merritt Ave, Nashville, TN 37203",Nashville,,en,36.1401465,-86.7684405,Monday,7 AM to 8 PM,Tuesday,7 AM to 8 PM,Wednesday,7 AM to 8 PM,Thursday,7 AM to 8 PM,Friday,7 AM to 8 PM,Saturday,7 AM to 8 PM,Sunday,7 AM to 8 PM,(888) 419-9743,20,,Tennessee,520 Merritt Ave,3.6,Quality Roofing Nashville,https://www.google.com/maps/search/?api=1&query=Quality%20Roofing%20Nashville&query_place_id=ChIJZaBM4uFlZIgRRiwWzn6gPbk,
"2600 Clifton Ave, Nashville, TN 37209",Nashville,,en,36.158684,-86.8151309,Monday,7 AM to 7 PM,Tuesday,7 AM to 7 PM,Wednesday,7 AM to 7 PM,Thursday,7 AM to 7 PM,Friday,7 AM to 7 PM,Saturday,10 AM to 2 PM,Sunday,Closed,,40,,Tennessee,2600 Clifton Ave,5.0,Pyle Development,https://www.google.com/maps/search/?api=1&query=Pyle%20Development&query_place_id=ChIJT7VR1UpnZIgRb2XKLBF0z5o,
"212 Broadway, Nashville, TN 37201",Nashville,,en,36.1618114,-86.7758883,,,,,,,,,,,,,,,(615) 525-6725,42,,Tennessee,212 Broadway,5.0,millenniumroofingtn,https://www.google.com/maps/search/?api=1&query=millenniumroofingtn&query_place_id=ChIJl079w1tmZIgRWe_LFIgHLfo,
"138 Rep. John Lewis Way N, Nashville, TN 37219",Nashville,,en,36.162227,-86.779148,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Closed,Sunday,Closed,(843) 410-8783,44,,Tennessee,138 Rep. John Lewis Way N,,Chucktown Roofing - Nashville,https://www.google.com/maps/search/?api=1&query=Chucktown%20Roofing%20-%20Nashville&query_place_id=ChIJ_Si_GJBnZIgRgeRdyu5AMoI,
"222 2nd Ave S Floor 17, Nashville, TN 37201",Nashville,,en,36.1594274,-86.7733431,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,Closed,Sunday,Closed,(615) 247-6464,45,,Tennessee,222 2nd Ave S Floor 17,5.0,Green Star Home Remodeling,https://www.google.com/maps/search/?api=1&query=Green%20Star%20Home%20Remodeling&query_place_id=ChIJy59eQGVnZIgRKNTIVyk7sT8,
"424 Church St, Nashville, TN 37129",Nashville,,en,36.1637872,-86.7800857,,,,,,,,,,,,,,,(615) 238-4670,50,,Tennessee,424 Church St,,Roof Maintenance Inc.,https://www.google.com/maps/search/?api=1&query=Roof%20Maintenance%20Inc.&query_place_id=ChIJ__8PRVhmZIgRPax6UhzlQGQ,
"UBS Tower, 315 Deaderick St, Nashville, TN 37238",Nashville,,en,36.1657076,-86.7800964,,,,,,,,,,,,,,,(615) 433-4001,53,,Tennessee,"UBS Tower, 315 Deaderick St",,Weather Guard Roofing,https://www.google.com/maps/search/?api=1&query=Weather%20Guard%20Roofing&query_place_id=ChIJ-YMxnVdmZIgRr7Jm2XjXF9c,
"3102 West End Ave, Nashville, TN 37203",Nashville,,en,36.1434967,-86.8172432,,,,,,,,,,,,,,,(615) 856-8081,56,,Tennessee,3102 West End Ave,,JJ's Roofing And Masonry,https://www.google.com/maps/search/?api=1&query=JJ's%20Roofing%20And%20Masonry&query_place_id=ChIJnRUo3q1mZIgRG4GExfWPRUc,
"Nashville, TN 37203",Nashville,,en,36.1523805,-86.7893889,,,,,,,,,,,,,,,(615) 564-2536,58,,Tennessee,,,Tennessee Master Restoraton,https://www.google.com/maps/search/?api=1&query=Tennessee%20Master%20Restoraton&query_place_id=ChIJVVVVVYxmZIgRyY6I0B2C53w,
"1200 Broadway, Nashville, TN 37203",Nashville,,en,36.156425,-86.7885784,,,,,,,,,,,,,,,(629) 333-6170,70,,Tennessee,1200 Broadway,,PeakTek,https://www.google.com/maps/search/?api=1&query=PeakTek&query_place_id=ChIJv2iHPfNmZIgROyFITVbStdk,
"Nashville, TN 37210",Nashville,,en,36.1477203,-86.7655106,,,,,,,,,,,,,,,,82,,Tennessee,,5.0,Urban Oasis| Private Rooftop| Close to Everything| Free Parking,https://www.google.com/maps/search/?api=1&query=Urban%20Oasis%7C%20Private%20Rooftop%7C%20Close%20to%20Everything%7C%20Free%20Parking&query_place_id=ChIJO_GyamxmZIgRiwrztE6e6hg,
"Nashville, TN 37208",Nashville,,en,36.1718363,-86.8069698,,,,,,,,,,,,,,,(615) 320-7663,29,,Tennessee,,,Tower Roofing Inc.,https://www.google.com/maps/search/?api=1&query=Tower%20Roofing%20Inc.&query_place_id=ChIJAQAAANxmZIgRhN9Cu7sWSD8,
"1014 Warren St, Nashville, TN 37208",Nashville,,en,36.1716125,-86.7952484,Monday,7 AM to 11 PM,Tuesday,7 AM to 11 PM,Wednesday,7 AM to 11 PM,Thursday,7 AM to 11 PM,Friday,7 AM to 11 PM,Saturday,8 AM to 8 PM,Sunday,8 AM to 8 PM,(423) 522-9663,32,,Tennessee,1014 Warren St,5.0,Guys,https://www.google.com/maps/search/?api=1&query=Guys&query_place_id=ChIJq8015ZNnZIgRocEys-AWDVc,
"107 44th Ave N, Nashville, TN 37209",Nashville,,en,36.1417096,-86.8393951,Monday,8 AM to 5 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,Closed,Sunday,Closed,(615) 750-2441,6,,Tennessee,107 44th Ave N,4.6,Echo Construction LLC,https://www.google.com/maps/search/?api=1&query=Echo%20Construction%20LLC&query_place_id=ChIJhTjPYWKJZIgR63IPqdAzJTc,
"4422 Harding Pike, Nashville, TN 37205",Nashville,,en,36.1253181,-86.8471401,,,,,,,,,,,,,,,(970) 222-4940,7,,Tennessee,4422 Harding Pike,5.0,JJ Roofing & Restoration,https://www.google.com/maps/search/?api=1&query=JJ%20Roofing%20%26%20Restoration&query_place_id=ChIJ9TSKX9tjZIgRB1ASd2ucMLg,
"6339 Charlotte Pike, Nashville, TN 37209",Nashville,,en,36.1442516,-86.8721461,Monday,7 AM to 4 PM,Tuesday,7 AM to 4 PM,Wednesday,7 AM to 4 PM,Thursday,7 AM to 4 PM,Friday,7 AM to 4 PM,Saturday,Closed,Sunday,Closed,(844) 765-2755,32,,Tennessee,6339 Charlotte Pike,1.9,Design 1 Solar Group Nashville,https://www.google.com/maps/search/?api=1&query=Design%201%20Solar%20Group%20Nashville&query_place_id=ChIJSxKCr99hZIgRfhN_Gss44p0,
"713 Woodmere Dr, Nashville, TN 37217",Nashville,,en,36.1219419,-86.7135583,,,,,,,,,,,,,,,(615) 609-5504,30,,Tennessee,713 Woodmere Dr,5.0,Wahidi Construction LLC,https://www.google.com/maps/search/?api=1&query=Wahidi%20Construction%20LLC&query_place_id=ChIJ__-TXTBvZIgRbfETx5UiS7c,
"4000 Anderson Rd, Nashville, TN 37217",Nashville,,en,36.1029592,-86.6045608,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(615) 589-9502,6,,Tennessee,4000 Anderson Rd,,Quintanilla roofing,https://www.google.com/maps/search/?api=1&query=Quintanilla%20roofing&query_place_id=ChIJu9L0uvptZIgRLb9S665OFLc,
"2121 Utopia Ave, Nashville, TN 37211",Nashville,,en,36.1279731,-86.7569404,,,,,,,,,,,,,,,(615) 562-6651,38,,Tennessee,2121 Utopia Ave,4.0,PolarSolar Solutions,https://www.google.com/maps/search/?api=1&query=PolarSolar%20Solutions&query_place_id=ChIJvWIF1-NlZIgRMfBOM242e78,
"1000 Lebanon Pike #2, Nashville, TN 37210",Nashville,,en,36.1547271,-86.7392727,,,,,,,,,,,,,,,(615) 244-5531,40,,Tennessee,1000 Lebanon Pike #2,5.0,Eatherly Construction Co,https://www.google.com/maps/search/?api=1&query=Eatherly%20Construction%20Co&query_place_id=ChIJIVkSnp9oZIgREM3MZdicn1E,
"3756 Hillsboro Pike, Nashville, TN 37215",Nashville,,en,36.108767,-86.8111349,Monday,8 AM to 7 PM,Tuesday,8 AM to 7 PM,Wednesday,8 AM to 7 PM,Thursday,8 AM to 7 PM,Friday,8 AM to 7 PM,Saturday,9 AM to 5 PM,Sunday,9 AM to 5 PM,(615) 219-2879,23,,Tennessee,3756 Hillsboro Pike,5.0,Nashville Heating & Air Conditioning,https://www.google.com/maps/search/?api=1&query=Nashville%20Heating%20%26%20Air%20Conditioning&query_place_id=ChIJq6rqhVZvZIgR9iiNFh1OQl0,
"5105 Alabama Ave, Nashville, TN 37209",Nashville,,en,36.1527431,-86.8492098,,,,,,,,,,,,,,,(615) 298-5215,9,,Tennessee,5105 Alabama Ave,1.0,Roofer's Local 176,https://www.google.com/maps/search/?api=1&query=Roofer's%20Local%20176&query_place_id=ChIJBSewSWxhZIgRqaPzDLyOZjE,
,Nashville,,,,,,,,,,,,,,,,,,,,,,,,,TOP COMPETITOR: Don Kennedy Roofing,,https://donkennedyroofing.com/
"108 Hurst Dr, Old Hickory, TN 37138",Old Hickory,,en,36.2530214,-86.6513084,Monday,8 AM to 5 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,Closed,Sunday,Closed,(615) 420-0164,52,,Tennessee,108 Hurst Dr,3.0,Stewart Exteriors LLC,https://www.google.com/maps/search/?api=1&query=Stewart%20Exteriors%20LLC&query_place_id=ChIJk7dcRbdBZIgRPPiNvnCEaW0,
,Old Hickory,,,,,,,,,,,,,,,,,,,,,,,,,TOP COMPETITOR: Tim Leeper Roofing,,https://timleeperroofing.com/
,Unknown,,en,36.2010356,-86.903761,Monday,7 AM to 5 PM,Tuesday,7 AM to 5 PM,Wednesday,7 AM to 5 PM,Thursday,7 AM to 5 PM,Friday,7 AM to 5 PM,Saturday,Closed,Sunday,Closed,(615) 456-7863,37,,,,,Capitol Roofing LLC | Roofing middle TN,https://www.google.com/maps/search/?api=1&query=Capitol%20Roofing%20LLC%20%7C%20Roofing%20middle%20TN&query_place_id=ChIJ5S5RY58RWosRMQ6VnFY-N5I,
,Unknown,,en,36.1866404,-86.785147,Monday,9 AM to 6:30 PM,Tuesday,9 AM to 6:30 PM,Wednesday,9 AM to 6:30 PM,Thursday,9 AM to 6:30 PM,Friday,9 AM to 6:30 PM,Saturday,Closed,Sunday,Closed,(615) 685-2399,64,,,,5.0,TRC Roofing - Nashville,https://www.google.com/maps/search/?api=1&query=TRC%20Roofing%20-%20Nashville&query_place_id=ChIJXzocqlNpZIgR-1lmmHO-mc0,
,Unknown,,en,36.1866404,-86.785147,Monday,8 AM to 5 AM,Tuesday,8 AM to 5 AM,Wednesday,8 AM to 5 AM,Thursday,8 AM to 5 AM,Friday,8 AM to 5 AM,Saturday,8 AM to 12 AM,Sunday,Closed,(615) 473-5878,66,,,,,J&K ROOFING,https://www.google.com/maps/search/?api=1&query=J%26K%20ROOFING&query_place_id=ChIJ4xxDxKngxa4R92RNqRDWTyI,
,Unknown,,en,36.2010356,-86.903761,Monday,7 AM to 7 PM,Tuesday,7 AM to 7 PM,Wednesday,7 AM to 7 PM,Thursday,7 AM to 7 PM,Friday,7 AM to 7 PM,Saturday,7 AM to 7 PM,Sunday,7 AM to 7 PM,(615) 589-6185,67,,,,,Nashville Roofing Specialist,https://www.google.com/maps/search/?api=1&query=Nashville%20Roofing%20Specialist&query_place_id=ChIJw7tfuApfZIgREMHstRPm3D4,
,Unknown,,en,36.0828969,-86.6899919,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(502) 468-9817,69,,,,,Max Roofing Nashville,https://www.google.com/maps/search/?api=1&query=Max%20Roofing%20Nashville&query_place_id=ChIJHVxn5x1nZIgRBRFGpLkV17M,
,Unknown,,en,36.103569,-86.9211348,Monday,7 AM to 7 PM,Tuesday,7 AM to 7 PM,Wednesday,7 AM to 7 PM,Thursday,7 AM to 7 PM,Friday,7 AM to 7 PM,Saturday,8 AM to 7 PM,Sunday,9 AM to 7 PM,(262) 664-5729,29,,,,5.0,IPS roofing,https://www.google.com/maps/search/?api=1&query=IPS%20roofing&query_place_id=ChIJzctuP81rxWwRQ5qdm2lcXKw,
,Unknown,,en,36.0120334,-86.614974,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,Closed,Sunday,Closed,(615) 241-9779,56,,,,5.0,Quality Roofing TCS,https://www.google.com/maps/search/?api=1&query=Quality%20Roofing%20TCS&query_place_id=ChIJsXt8MgZ7ZIgR5MmCOEgIois,
,Unknown,,en,35.9989784,-86.6994646,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,9 AM to 5 PM,Sunday,Closed,(833) 737-3266,58,,,,5.0,Southeastern Roofing Company,https://www.google.com/maps/search/?api=1&query=Southeastern%20Roofing%20Company&query_place_id=ChIJT336zyTmRgcRDzhkLta3s7U,
,Unknown,,en,36.0120334,-86.614974,Monday,8 AM to 6 PM,Tuesday,8 AM to 6 PM,Wednesday,8 AM to 6 PM,Thursday,8 AM to 6 PM,Friday,8 AM to 6 PM,Saturday,9 AM to 6 PM,Sunday,Closed,(615) 892-6200,72,,,,,Nashville Roof Sevices,https://www.google.com/maps/search/?api=1&query=Nashville%20Roof%20Sevices&query_place_id=ChIJx_VuR3ANZIgRXavg8Ufybh0,
,Unknown,,en,36.1866404,-86.785147,Monday,7 AM to 8 PM,Tuesday,7 AM to 8 PM,Wednesday,7 AM to 8 PM,Thursday,7 AM to 8 PM,Friday,7 AM to 8 PM,Saturday,Closed,Sunday,Closed,(615) 403-0154,90,,,,5.0,TennRoof,https://www.google.com/maps/search/?api=1&query=TennRoof&query_place_id=ChIJmwzyAzZuZIgRb3F0eKqpsjk,
,Unknown,,en,36.0120334,-86.614974,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(615) 977-6117,96,,,,5.0,Walter Velazquez Construction Co,https://www.google.com/maps/search/?api=1&query=Walter%20Velazquez%20Construction%20Co&query_place_id=ChIJVyeCAiANZIgR5xljrcZflNg,
,Unknown,,en,36.15633,-86.6046244,Monday,7 AM to 6 PM,Tuesday,7 AM to 6 PM,Wednesday,7 AM to 6 PM,Thursday,7 AM to 6 PM,Friday,7 AM to 6 PM,Saturday,7 AM to 12 PM,Sunday,Closed,(615) 491-6638,97,,,,5.0,All siding construction LLC,https://www.google.com/maps/search/?api=1&query=All%20siding%20construction%20LLC&query_place_id=ChIJ65h9788PZIgRMU4_NLnGpKo,
,Unknown,,en,36.0828969,-86.6899919,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(615) 484-1476,98,,,,1.0,M.A.A. ROOFING LLC,https://www.google.com/maps/search/?api=1&query=M.A.A.%20ROOFING%20LLC&query_place_id=ChIJh6iCN3lq1QIRm-aku2UoTY0,
,Unknown,,en,36.2000832,-86.898258,Monday,7 AM to 7 PM,Tuesday,7 AM to 7 PM,Wednesday,7 AM to 7 PM,Thursday,7 AM to 7 PM,Friday,7 AM to 7 PM,Saturday,7 AM to 7 PM,Sunday,Closed,(615) 955-3068,23,,,,5.0,"MR. Painting of Nashville, LLC",https://www.google.com/maps/search/?api=1&query=MR.%20Painting%20of%20Nashville%2C%20LLC&query_place_id=ChIJZwZWnnNtZIgRixZuU_8iSU0,
,Unknown,,en,36.1866404,-86.785147,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,9 AM to 8 PM,Sunday,Open 24 hours,(615) 669-9181,54,,,,5.0,Precision Roofing LLC.,https://www.google.com/maps/search/?api=1&query=Precision%20Roofing%20LLC.&query_place_id=ChIJh3x5ir5nZIgR6GtF8rLgAHY,
,Unknown,,en,36.310114,-86.7459445,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(615) 414-8466,57,,,,3.0,Musgrove Construction LLC,https://www.google.com/maps/search/?api=1&query=Musgrove%20Construction%20LLC&query_place_id=ChIJ__y0PhZDZIgRcKU_vQumwV4,
,Unknown,,en,36.0492214,-86.6899919,Monday,8 AM to 6 PM,Tuesday,8 AM to 6 PM,Wednesday,8 AM to 6 PM,Thursday,8 AM to 6 PM,Friday,8 AM to 6 PM,Saturday,Closed,Sunday,Closed,(615) 982-3032,36,,,,,TN Roofing Pro,https://www.google.com/maps/search/?api=1&query=TN%20Roofing%20Pro&query_place_id=ChIJC1z6KllIkKoRfEJPko4Ck3I,
,Unknown,,en,36.1866404,-86.785147,Monday,7 AM to 7 PM,Tuesday,7 AM to 7 PM,Wednesday,7 AM to 7 PM,Thursday,7 AM to 7 PM,Friday,7 AM to 7 PM,Saturday,9 AM to 5 PM,Sunday,9 AM to 5 PM,(615) 754-7663,102,,,,4.5,Sparkman Roofing & Remodeling,https://www.google.com/maps/search/?api=1&query=Sparkman%20Roofing%20%26%20Remodeling&query_place_id=ChIJ0eEoq5hlZIgRzSLW2z8nlzc,
,Unknown,,en,36.1174399,-86.5876369,Monday,8 AM to 6 PM,Tuesday,8 AM to 6 PM,Wednesday,8 AM to 6 PM,Thursday,8 AM to 6 PM,Friday,8 AM to 6 PM,Saturday,Closed,Sunday,Closed,(615) 779-9973,108,,,,5.0,R&R Construction Group GP,https://www.google.com/maps/search/?api=1&query=R%26R%20Construction%20Group%20GP&query_place_id=ChIJkYbmHJVtZIgR3aiPXp7l2to,
,Unknown,,en,36.1866404,-86.785147,,,,,,,,,,,,,,,(615) 589-5637,113,,,,5.0,JRC CONSTRUCTION LLC,https://www.google.com/maps/search/?api=1&query=JRC%20CONSTRUCTION%20LLC&query_place_id=ChIJbZDF9F1rfa0RblbrC5hd_og,
,Unknown,,en,36.100911,-86.7271325,Monday,7 AM to 8 PM,Tuesday,7 AM to 8 PM,Wednesday,7 AM to 8 PM,Thursday,7 AM to 8 PM,Friday,7 AM to 8 PM,Saturday,7 AM to 8 PM,Sunday,Closed,(615) 715-6863,119,,,,,German HD,https://www.google.com/maps/search/?api=1&query=German%20HD&query_place_id=ChIJEcyw_2tvZIgRwtAmnJ1vBtI,
,Unknown,,en,36.096445,-86.6721535,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(615) 212-9280,84,,,,5.0,Strong Restoration,https://www.google.com/maps/search/?api=1&query=Strong%20Restoration&query_place_id=ChIJyy3PV4jpsIoR1T-SCTcJXdU,
,Unknown,,en,36.135507,-86.650675,Monday,8 AM to 4 PM,Tuesday,8 AM to 4 PM,Wednesday,8 AM to 4 PM,Thursday,8 AM to 4 PM,Friday,8 AM to 4 PM,Saturday,Closed,Sunday,Closed,(615) 355-6699,50,,,,2.6,SmithCo Property Restoration Group,https://www.google.com/maps/search/?api=1&query=SmithCo%20Property%20Restoration%20Group&query_place_id=ChIJoeFAia5qZIgRnvCH3hC36N4,
,Unknown,,en,36.1866404,-86.7514999,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,9 AM to 5 PM,Sunday,Closed,(615) 606-4330,36,,,,,Arellano Construction and Development Inc.,https://www.google.com/maps/search/?api=1&query=Arellano%20Construction%20and%20Development%20Inc.&query_place_id=ChIJ6X-Neq2hswIRG8IaM13MrOY,
,Unknown,,en,36.1160054,-86.7971604,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Closed,(615) 964-0444,81,,,,5.0,All You Need Roofing,https://www.google.com/maps/search/?api=1&query=All%20You%20Need%20Roofing&query_place_id=ChIJnXaobrpVUYgRGVVRCWLd0qs,
,Unknown,,en,36.0828969,-86.6899919,Monday,7 AM to 7 PM,Tuesday,7 AM to 7 PM,Wednesday,7 AM to 7 PM,Thursday,7 AM to 7 PM,Friday,7 AM to 7 PM,Saturday,7 AM to 7 PM,Sunday,7 AM to 7 PM,(629) 243-9670,83,,,,5.0,Milo-Gray Roofing,https://www.google.com/maps/search/?api=1&query=Milo-Gray%20Roofing&query_place_id=ChIJGdcc2Bc4oEkRGi-HoPEFUKQ,
,Unknown,,en,36.1160054,-86.785147,Monday,7 AM to 6 PM,Tuesday,7 AM to 6 PM,Wednesday,7 AM to 6 PM,Thursday,7 AM to 6 PM,Friday,7 AM to 6 PM,Saturday,Closed,Sunday,Closed,(615) 610-4790,90,,,,,Exterior Solutions Roofing and Guttering,https://www.google.com/maps/search/?api=1&query=Exterior%20Solutions%20Roofing%20and%20Guttering&query_place_id=ChIJ8QvdZAtnZIgRj2ekuYmN3u0,
,Unknown,,en,36.1866404,-86.785246,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(615) 880-6200,91,,,,5.0,Nashville Roofing Pros,https://www.google.com/maps/search/?api=1&query=Nashville%20Roofing%20Pros&query_place_id=ChIJo5Rub7NnZIgRvwt3SPijQxQ,
,Unknown,,en,36.1866404,-86.785147,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Closed,(615) 506-2565,94,,,,5.0,Weather Ready Roofing LLC,https://www.google.com/maps/search/?api=1&query=Weather%20Ready%20Roofing%20LLC&query_place_id=ChIJvRZJoA2hI4oR6Ud1y1VEqt8,
,Unknown,,en,36.2159573,-86.6364867,Monday,8 AM to 4 PM,Tuesday,8 AM to 4 PM,Wednesday,8 AM to 4 PM,Thursday,8 AM to 4 PM,Friday,8 AM to 4 PM,Saturday,Closed,Sunday,Closed,(615) 566-6210,95,,,,,Sievers and Sons Home Builders,https://www.google.com/maps/search/?api=1&query=Sievers%20and%20Sons%20Home%20Builders&query_place_id=ChIJRzTp3lbXU4gRzA-j1t8OaVs,
,Unknown,,en,36.1866404,-86.785147,Monday,7 AM to 4:30 PM,Tuesday,7 AM to 4:30 PM,Wednesday,7 AM to 4:30 PM,Thursday,7 AM to 4:30 PM,Friday,7 AM to 4:30 PM,Saturday,7 AM to 4:30 PM,Sunday,9 AM to 5 PM,(615) 205-9405,99,,,,4.6,Sparrow Heating & Cooling,https://www.google.com/maps/search/?api=1&query=Sparrow%20Heating%20%26%20Cooling&query_place_id=ChIJ2Uv3jQRnZIgR1hN_2Z4a-E0,
,Unknown,,en,36.1866404,-86.785147,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(629) 777-3979,108,,,,,Roof Revivers,https://www.google.com/maps/search/?api=1&query=Roof%20Revivers&query_place_id=ChIJhWn1-69mZIgRCwDMdAT9Wwo,
,Unknown,,en,36.076079,-86.901045,Monday,7 AM to 7 PM,Tuesday,7 AM to 7 PM,Wednesday,7 AM to 7 PM,Thursday,7 AM to 7 PM,Friday,7 AM to 7 PM,Saturday,7 AM to 7 PM,Sunday,7 AM to 7 PM,(615) 600-8800,110,,,,5.0,TRC Contractors,https://www.google.com/maps/search/?api=1&query=TRC%20Contractors&query_place_id=ChIJNQt3Vah-D6gRrCb4CFSXQyw,
,Unknown,,en,36.1866404,-86.785147,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(615) 752-4487,113,,,,5.0,Blackwater Restoration,https://www.google.com/maps/search/?api=1&query=Blackwater%20Restoration&query_place_id=ChIJr8TxJkhrgQIRGOx5dmNNU2E,
,Unknown,,en,36.1866404,-86.785147,Monday,8 AM to 6 PM,Tuesday,8 AM to 6 PM,Wednesday,8 AM to 6 PM,Thursday,8 AM to 6 PM,Friday,8 AM to 6 PM,Saturday,8 AM to 6 PM,Sunday,Closed,(615) 590-3200,116,,,,,My Roofing Advocate Nashville,https://www.google.com/maps/search/?api=1&query=My%20Roofing%20Advocate%20Nashville&query_place_id=ChIJ519ryGJnZIgRYRNxbmkVXis,
,Unknown,,en,36.1866404,-86.785147,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(615) 505-7663,118,,,,,QE Restoration & Roofing,https://www.google.com/maps/search/?api=1&query=QE%20Restoration%20%26%20Roofing&query_place_id=ChIJaRd2e35nZIgRPKnXRo418Jo,
