"﻿""address""",city,description,language,location/lat,location/lng,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,phone,rank,price,state,street,totalScore,title,url,Competitor Website
,,,en,29.6975606,-95.541275,Monday,7 AM to 12 AM,Tuesday,12 AM to 7 PM,Wednesday,7 AM to 7 PM,Thursday,7 AM to 7 PM,Friday,7 AM to 7 PM,Saturday,"8 AM to 5 PM, 9 PM to 12 AM",Sunday,Closed,(713) 259-6124,77,,,,4.6,Rodeo Roofing,https://www.google.com/maps/search/?api=1&query=Rodeo%20Roofing&query_place_id=ChIJAQAAALDHQIYRnz2VmeuCT4U,
,,,en,29.791965,-95.474209,,,,,,,,,,,,,,,(713) 972-2139,96,,,,5,Roman Roofing & More LLC,https://www.google.com/maps/search/?api=1&query=Roman%20Roofing%20%26%20More%20LLC&query_place_id=ChIJoSPo8DrHQIYRBTrenHlLqmQ,
,,,en,29.716598,-95.498702,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(832) 810-0065,54,,,,,Roof Repair in Houston,https://www.google.com/maps/search/?api=1&query=Roof%20Repair%20in%20Houston&query_place_id=ChIJMdbevYnpQIYREaz3zZqHiXk,
,,,en,29.836095,-95.46119,Monday,7 AM to 9 PM,Tuesday,7 AM to 9 PM,Wednesday,7 AM to 9 PM,Thursday,7 AM to 9 PM,Friday,7 AM to 9 PM,Saturday,7 AM to 9 PM,Sunday,7 AM to 9 PM,(713) 470-8024,65,,,,,Roof works,https://www.google.com/maps/search/?api=1&query=Roof%20works&query_place_id=ChIJYc-HymzDQIYR3zEKGeYl7GA,
,,,en,29.836095,-95.46119,Monday,8:30 AM to 5 PM,Tuesday,8:30 AM to 5 PM,Wednesday,8:30 AM to 5 PM,Thursday,8:30 AM to 5 PM,Friday,8:30 AM to 5 PM,Saturday,10 AM to 4 PM,Sunday,Closed,(832) 659-3550,53,,,,,RoofTex Solutions,https://www.google.com/maps/search/?api=1&query=RoofTex%20Solutions&query_place_id=ChIJuTcIDV65QIYRSgNUgjXjTPs,
,,,en,29.836095,-95.46119,Monday,8 AM to 7 PM,Tuesday,8 AM to 7 PM,Wednesday,8 AM to 7 PM,Thursday,8 AM to 7 PM,Friday,8 AM to 7 PM,Saturday,9 AM to 5 PM,Sunday,10 AM to 1 PM,(713) 259-3197,88,,,,5,Roofing and Remodeling Morfin,https://www.google.com/maps/search/?api=1&query=Roofing%20and%20Remodeling%20Morfin&query_place_id=ChIJkVdZdpW5QIYR_vbvQhxulu0,
,,,en,29.61169,-95.4673135,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(832) 882-1977,67,,,,,Roofing texas,https://www.google.com/maps/search/?api=1&query=Roofing%20texas&query_place_id=ChIJg2xxne_HQywRcE6ImL1cuKw,
,,,en,29.8123014,-95.4346126,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(832) 341-2297,84,,,,5,Selected Construction,https://www.google.com/maps/search/?api=1&query=Selected%20Construction&query_place_id=ChIJ_desg37U_mMRyV_Id9VMyM0,
,,,en,29.836095,-95.46119,Monday,8:30 AM to 5:30 PM,Tuesday,8:30 AM to 5:30 PM,Wednesday,8:30 AM to 5:30 PM,Thursday,8:30 AM to 5:30 PM,Friday,8:30 AM to 5:30 PM,Saturday,Closed,Sunday,Closed,(346) 290-0294,91,,,,5,Sky Roofing & Contracting,https://www.google.com/maps/search/?api=1&query=Sky%20Roofing%20%26%20Contracting&query_place_id=ChIJCcgKUNANeAERZPPoph70kko,
,,,en,29.6508585,-95.3852278,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(832) 536-5640,86,,,,,Star Roofing & Solar Providers Houston,https://www.google.com/maps/search/?api=1&query=Star%20Roofing%20%26%20Solar%20Providers%20Houston&query_place_id=ChIJNdfaZ-OXQIYRpgbHchd07fs,
,,,en,29.7274316,-95.319088,Monday,7 AM to 5 PM,Tuesday,7 AM to 5 PM,Wednesday,7 AM to 5 PM,Thursday,7 AM to 5 PM,Friday,7 AM to 5 PM,Saturday,7 AM to 5 PM,Sunday,9 AM to 3 PM,(281) 660-8122,56,,,,5,Stop Roof Leaks,https://www.google.com/maps/search/?api=1&query=Stop%20Roof%20Leaks&query_place_id=ChIJy2sDlHkpGoIRuL0EpBc0QsQ,
,,,en,29.836095,-95.46119,Monday,7 AM to 7 PM,Tuesday,7 AM to 7 PM,Wednesday,7 AM to 7 PM,Thursday,7 AM to 7 PM,Friday,7 AM to 7 PM,Saturday,7 AM to 7 PM,Sunday,Closed,(713) 498-1156,121,,,,,Tejas Roofing & Remodeling,https://www.google.com/maps/search/?api=1&query=Tejas%20Roofing%20%26%20Remodeling&query_place_id=ChIJC-qkh3D3_0oRfTt_5nT9lzc,
,,,en,29.6490154,-95.2923155,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(832) 929-2481,41,,,,5,TimeWise Roofing,https://www.google.com/maps/search/?api=1&query=TimeWise%20Roofing&query_place_id=ChIJj6hPv6c_WWIR3jj8NS7kapA,
,,,en,29.946437,-95.3172214,Monday,6 AM to 6 PM,Tuesday,6 AM to 6 PM,Wednesday,6 AM to 6 PM,Thursday,6 AM to 6 PM,Friday,6 AM to 6 PM,Saturday,6 AM to 6 PM,Sunday,Closed,(832) 722-0783,92,,,,3.8,Tri-Star Roofing,https://www.google.com/maps/search/?api=1&query=Tri-Star%20Roofing&query_place_id=ChIJLUmCaD7IQIYREaeY6N-bHKc,
,,,en,29.744103,-95.3455531,Monday,7 AM to 10 PM,Tuesday,7 AM to 10 PM,Wednesday,7 AM to 10 PM,Thursday,7 AM to 10 PM,Friday,7 AM to 10 PM,Saturday,7 AM to 10 PM,Sunday,Closed,(832) 891-3276,89,,,,5,Trustworthy Roofing & Remodeling LLC,https://www.google.com/maps/search/?api=1&query=Trustworthy%20Roofing%20%26%20Remodeling%20LLC&query_place_id=ChIJcaI1SfUxKmUR5zOWtFHzp4Q,
,,,en,29.6490154,-95.294855,Monday,8 AM to 6 PM,Tuesday,8 AM to 6 PM,Wednesday,8 AM to 6 PM,Thursday,8 AM to 6 PM,Friday,8 AM to 6 PM,Saturday,8 AM to 6 PM,Sunday,Closed,(832) 574-2697,88,,,,5,Ultimax Xteriors,https://www.google.com/maps/search/?api=1&query=Ultimax%20Xteriors&query_place_id=ChIJBwKD7LsFMCkRIVJLVqg1ZEo,
,,,en,29.836095,-95.46119,Monday,9 AM to 7 PM,Tuesday,9 AM to 7 PM,Wednesday,9 AM to 7 PM,Thursday,9 AM to 7 PM,Friday,9 AM to 7 PM,Saturday,9 AM to 4 PM,Sunday,Closed,(832) 210-7060,94,,,,,Weber & Sons,https://www.google.com/maps/search/?api=1&query=Weber%20%26%20Sons&query_place_id=ChIJZzFDeZ2lQIYR-SohRMg9XMw,
,,,en,29.8734204,-95.465351,,,,,,,,,,,,,,,(832) 468-6504,50,,,,5,Xtra roofing,https://www.google.com/maps/search/?api=1&query=Xtra%20roofing&query_place_id=ChIJza4c8We5QIYRHibpvBiS-_g,
,,,en,29.836095,-95.46119,Monday,8 AM to 6 PM,Tuesday,8 AM to 6 PM,Wednesday,8 AM to 6 PM,Thursday,8 AM to 6 PM,Friday,8 AM to 6 PM,Saturday,8 AM to 6 PM,Sunday,8 AM to 6 PM,(832) 453-0184,97,,,,5,Y A & S Roofing & Seamless Gutters,https://www.google.com/maps/search/?api=1&query=Y%20A%20%26%20S%20Roofing%20%26%20Seamless%20Gutters&query_place_id=ChIJj4BjE0S7QIYRNGcA2_KRt6I,
,,,en,29.836095,-95.46119,Monday,8:30 AM to 9:30 PM,Tuesday,8:30 AM to 9:30 PM,Wednesday,8:30 AM to 9:30 PM,Thursday,8:30 AM to 9:30 PM,Friday,8:30 AM to 9:30 PM,Saturday,8:30 AM to 9:30 PM,Sunday,Closed,(346) 757-6215,100,,,,,mannyroofingconstruction,https://www.google.com/maps/search/?api=1&query=mannyroofingconstruction&query_place_id=ChIJpWq_M33pQIYRQXOivOdjlD4,
"15035 E Freeway Service Rd, Channelview, TX 77530",Channelview,,en,29.773913,-95.1457262,,,,,,,,,,,,,,,(281) 709-2761,18,,Texas,15035 E Freeway Service Rd,4.5,Gardner Roofing,https://www.google.com/maps/search/?api=1&query=Gardner%20Roofing&query_place_id=ChIJSYFY7EnDQIYR4Ea_aLgkzuY,https://www.elevationroofing.com/
"7408 Riverchase Trail D​e​n​ton, TX-7 #6​210, Denton, TX 76210",Denton,,en,29.7656989,-95.3313491,Monday,9 AM to 6 PM,Tuesday,9 AM to 6 PM,Wednesday,9 AM to 6 PM,Thursday,9 AM to 6 PM,Friday,9 AM to 6 PM,Saturday,9 AM to 6 PM,Sunday,10 AM to 5:30 PM,(281) 532-8373,55,,TX,"7408 Riverchase Trail D​e​n​ton, TX-7 #6​210",,Raymond's Services,https://www.google.com/maps/search/?api=1&query=Raymond's%20Services&query_place_id=ChIJ2dcaNIK_QIYRTYxYRa7j9ng,https://www.elevationroofing.com/
"7676 Hillmont St Ste 107, Houston, TX 77040",Houston,,en,29.8442674,-95.5041654,Monday,8 AM to 6 PM,Tuesday,8 AM to 6 PM,Wednesday,8 AM to 6 PM,Thursday,8 AM to 6 PM,Friday,8 AM to 6 PM,Saturday,9 AM to 2 PM,Sunday,Closed,(346) 719-5170,65,,Texas,7676 Hillmont St Ste 107,2.3,A&C REMODELING and CONSTRUCTION CO,https://www.google.com/maps/search/?api=1&query=A%26C%20REMODELING%20and%20CONSTRUCTION%20CO&query_place_id=ChIJRbDm7_3FQIYRHlxEx9_o0tU,https://www.elevationroofing.com/
"10301 Fulton St Ste b7, Houston, TX 77076",Houston,,en,29.8555021,-95.3830699,Monday,8 AM to 6 PM,Tuesday,8 AM to 6 PM,Wednesday,8 AM to 6 PM,Thursday,8 AM to 6 PM,Friday,8 AM to 6 PM,Saturday,8 AM to 6 PM,Sunday,Closed,(346) 498-9551,17,,Texas,10301 Fulton St Ste b7,3.9,"A&J Roofing, Construction & Remodeling",https://www.google.com/maps/search/?api=1&query=A%26J%20Roofing%2C%20Construction%20%26%20Remodeling&query_place_id=ChIJSaMSiGq5QIYRdec3Op6ZHlw,
"9225 Dandy St, Houston, TX 77016",Houston,,en,29.8462194,-95.3120876,Monday,7:30 AM to 7 PM,Tuesday,7:30 AM to 7 PM,Wednesday,7:30 AM to 7 PM,Thursday,7:30 AM to 7 PM,Friday,7:30 AM to 7 PM,Saturday,7:30 AM to 7 PM,Sunday,9 AM to 5 PM,(832) 654-5831,6,,Texas,9225 Dandy St,5,A1 roofing,https://www.google.com/maps/search/?api=1&query=A1%20roofing&query_place_id=ChIJ7wTo3sK5QIYRsV2gDGyB4OY,
"11011 Richmond Ave # 320, Houston, TX 77042",Houston,,en,29.7272241,-95.5708562,Monday,8:30 AM to 6 PM,Tuesday,8:30 AM to 6 PM,Wednesday,8:30 AM to 6 PM,Thursday,8:30 AM to 6 PM,Friday,8:30 AM to 6 PM,Saturday,Closed,Sunday,Closed,(713) 552-0484,24,,Texas,11011 Richmond Ave # 320,,ANA SOLAR & ROOFING,https://www.google.com/maps/search/?api=1&query=ANA%20SOLAR%20%26%20ROOFING&query_place_id=ChIJww2-SrDdQIYRPhY8Xe2QsqM,
"12317 Almeda Rd, Houston, TX 77045",Houston,,en,29.631037,-95.4105973,Monday,8 AM to 5 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,Closed,Sunday,Closed,(210) 650-2276,67,,Texas,12317 Almeda Rd,5,APB Pole Barns,https://www.google.com/maps/search/?api=1&query=APB%20Pole%20Barns&query_place_id=ChIJgWdM4eztNIgRv9qrPbsZmQI,
"13726 Almeda School Rd, Houston, TX 77047",Houston,,en,29.6069138,-95.417929,Monday,8 AM to 6:30 PM,Tuesday,8 AM to 6:30 PM,Wednesday,8 AM to 6:30 PM,Thursday,8 AM to 6:30 PM,Friday,8 AM to 6:30 PM,Saturday,8 AM to 6:30 PM,Sunday,Closed,(713) 433-7501,14,,Texas,13726 Almeda School Rd,4.4,Aa Roofing,https://www.google.com/maps/search/?api=1&query=Aa%20Roofing&query_place_id=ChIJe74qG2vrQIYRPsiffgWXuqY,
"1812 State St, Houston, TX 77007",Houston,,en,29.7649624,-95.3764087,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(725) 705-2698,7,,Texas,1812 State St,5,Accurate Roofing Solutions,https://www.google.com/maps/search/?api=1&query=Accurate%20Roofing%20Solutions&query_place_id=ChIJt83oCOO_QIYRSpwxSuwzkyI,
"11526 Dunlap St, Houston, TX 77035",Houston,"Electrician focusing on outlet repairs, doorbell wiring, breaker boxes, surge protectors and more.",en,29.6532592,-95.4933689,Monday,6 AM to 11 PM,Tuesday,6 AM to 11 PM,Wednesday,6 AM to 11 PM,Thursday,6 AM to 11 PM,Friday,6 AM to 11 PM,Saturday,6 AM to 11 PM,Sunday,6 AM to 11 PM,(713) 392-5795,49,,Texas,11526 Dunlap St,4.9,Action Electric Co,https://www.google.com/maps/search/?api=1&query=Action%20Electric%20Co&query_place_id=ChIJq48YEe_pQIYRWDZxQfI1tz4,
"9716 Almeda Genoa Rd, Houston, TX 77075",Houston,"Business providing services including cleaning gutters, inspecting and repairing roofs.",en,29.6270379,-95.2433768,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(936) 508-2220,15,,Texas,9716 Almeda Genoa Rd,4.7,Adams & Sons Roofing,https://www.google.com/maps/search/?api=1&query=Adams%20%26%20Sons%20Roofing&query_place_id=ChIJ30ABTsSXQIYRIacAxwLXcrI,
"7503 Irvington Blvd, Houston, TX 77022",Houston,,en,29.8294742,-95.3616275,,,,,,,,,,,,,,,(936) 310-4112,33,,Texas,7503 Irvington Blvd,4.9,Adams Brothers Roof Repair,https://www.google.com/maps/search/?api=1&query=Adams%20Brothers%20Roof%20Repair&query_place_id=ChIJjQQComq5QIYRALZF6WaXHfM,
"1004 Texas Ave, Houston, TX 77002",Houston,,en,29.7597788,-95.3625,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,Closed,Sunday,Closed,(713) 893-1319,73,,Texas,1004 Texas Ave,,All Painting & Remodeling,https://www.google.com/maps/search/?api=1&query=All%20Painting%20%26%20Remodeling&query_place_id=ChIJO40StDq_QIYRTCAY1MrxdZo,
"7327 Ashcroft Dr, Houston, TX 77081",Houston,,en,29.6991982,-95.4903163,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(281) 900-1280,10,,Texas,7327 Ashcroft Dr,,All Weather Roofing,https://www.google.com/maps/search/?api=1&query=All%20Weather%20Roofing&query_place_id=ChIJ9xxLtTTDQIYRYNQJPtQFg9o,
"6535 Thornwall St, Houston, TX 77092",Houston,"Straightforward contractors offering roof repair or replacement, along with skylight and fence installation.",en,29.8266639,-95.4885712,,,,,,,,,,,,,,,(832) 876-1208,11,,Texas,6535 Thornwall St,5,Alliance Roofing & Construction,https://www.google.com/maps/search/?api=1&query=Alliance%20Roofing%20%26%20Construction&query_place_id=ChIJzzeqTYPFQIYRztANPf_sPTI,
"728 Neyland St, Houston, TX 77022",Houston,,en,29.8256619,-95.3902885,Monday,7 AM to 6 PM,Tuesday,7 AM to 6 PM,Wednesday,7 AM to 6 PM,Thursday,7 AM to 6 PM,Friday,7 AM to 6 PM,Saturday,7 AM to 6 PM,Sunday,7 AM to 6 PM,(832) 703-4708,39,,Texas,728 Neyland St,5,"Almeida Contruction, Home Remodeling",https://www.google.com/maps/search/?api=1&query=Almeida%20Contruction%2C%20Home%20Remodeling&query_place_id=ChIJVaq9CuK5QIYR2k7OULBAfcg,
"9530 Caddo Rd, Houston, TX 77078",Houston,,en,29.8566748,-95.2485613,,,,,,,,,,,,,,,(346) 317-8348,61,,Texas,9530 Caddo Rd,3,Alpha one roofing supplys,https://www.google.com/maps/search/?api=1&query=Alpha%20one%20roofing%20supplys&query_place_id=ChIJ3yOFMay7QIYRixrY5Os49C8,
"9101 Lipan Rd, Houston, TX 77063",Houston,,en,29.723362,-95.5243715,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(832) 654-2269,42,,Texas,9101 Lipan Rd,5,Amir Homes and Remodeling,https://www.google.com/maps/search/?api=1&query=Amir%20Homes%20and%20Remodeling&query_place_id=ChIJ1-SkBqLDQIYRayd8O34x_xE,
"224 Hunt St, Houston, TX 77003",Houston,,en,29.7468805,-95.3343158,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,9 AM to 5 PM,Sunday,9 AM to 5 PM,(281) 628-5245,45,,Texas,224 Hunt St,,Apex Roofing Experts,https://www.google.com/maps/search/?api=1&query=Apex%20Roofing%20Experts&query_place_id=ChIJYb1gBAC_QIYRJTij7AVYpJM,
"1503 Palmer St, Houston, TX 77003",Houston,,en,29.7418668,-95.3499579,,,,,,,,,,,,,,,(281) 628-1890,62,,Texas,1503 Palmer St,,Apex Roofing Experts,https://www.google.com/maps/search/?api=1&query=Apex%20Roofing%20Experts&query_place_id=ChIJx6bpPgC_QIYRrwVZFwJc16U,
"2121 Edwards St, Houston, TX 77007",Houston,,en,29.7702072,-95.3798521,,,,,,,,,,,,,,,(281) 536-9283,35,,Texas,2121 Edwards St,,Apex Roofing Experts,https://www.google.com/maps/search/?api=1&query=Apex%20Roofing%20Experts&query_place_id=ChIJp5EKbwC_QIYRBAOyUzmTGEQ,
"159 Sharpstown Center Ste.200G, Houston, TX 77036",Houston,,en,29.7085469,-95.5161734,Monday,8 AM to 7 PM,Tuesday,8 AM to 7 PM,Wednesday,8 AM to 7 PM,Thursday,8 AM to 7 PM,Friday,8 AM to 7 PM,Saturday,8 AM to 6:30 PM,Sunday,Closed,(832) 782-3438,36,,Texas,159 Sharpstown Center Ste.200G,5,B.A.L Construction LLC,https://www.google.com/maps/search/?api=1&query=B.A.L%20Construction%20LLC&query_place_id=ChIJSW4c7kbDQIYRP_mxGw45ZCU,
"2442 Rodney St, Houston, TX 77034",Houston,,en,29.6443541,-95.2383507,,,,,,,,,,,,,,,(713) 321-0490,11,,Texas,2442 Rodney St,5,BD Roofing and Contracting,https://www.google.com/maps/search/?api=1&query=BD%20Roofing%20and%20Contracting&query_place_id=ChIJdwkYUMyXQIYRFjf8zUaNa4E,
"7315 Lyons Ave, Houston, TX 77020",Houston,,en,29.7769835,-95.2956718,Monday,8 AM to 6 PM,Tuesday,8 AM to 6 PM,Wednesday,8 AM to 6 PM,Thursday,8 AM to 6 PM,Friday,8 AM to 6 PM,Saturday,8 AM to 6 PM,Sunday,Closed,(832) 940-1803,89,,Texas,7315 Lyons Ave,3,Bayou City Materials,https://www.google.com/maps/search/?api=1&query=Bayou%20City%20Materials&query_place_id=ChIJWaMoG6i7QIYRH7XDZF48a3o,
"1222 Sadler St, Houston, TX 77022",Houston,,en,29.834541,-95.3578508,Monday,8 AM to 6 PM,Tuesday,8 AM to 6 PM,Wednesday,8 AM to 6 PM,Thursday,8 AM to 6 PM,Friday,8 AM to 6 PM,Saturday,8 AM to 6 PM,Sunday,Closed,(832) 419-8121,49,,Texas,1222 Sadler St,,Berny's Roofer,https://www.google.com/maps/search/?api=1&query=Berny's%20Roofer&query_place_id=ChIJVRNYStm5QIYRgGo-UZoK_NI,
"16516 El Camino Real, Houston, TX 77062",Houston,,en,29.5573728,-95.1240627,Monday,7 AM to 8 PM,Tuesday,7 AM to 8 PM,Wednesday,7 AM to 8 PM,Thursday,7 AM to 8 PM,Friday,7 AM to 8 PM,Saturday,8 AM to 7:30 PM,Sunday,Closed,(832) 263-9043,17,,Texas,16516 El Camino Real,5,Black Label Roof Co,https://www.google.com/maps/search/?api=1&query=Black%20Label%20Roof%20Co&query_place_id=ChIJqZRypmadQIYRp4J9AC1ESRE,
"7334 Remegan Rd, Houston, TX 77033",Houston,,en,29.676615,-95.3397552,Monday,8 AM to 5 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,8 AM to 3 PM,Sunday,Closed,(713) 298-3207,18,,Texas,7334 Remegan Rd,,Bravo's Roofing and Siding LLC,https://www.google.com/maps/search/?api=1&query=Bravo's%20Roofing%20and%20Siding%20LLC&query_place_id=ChIJW-htxYiVQIYRq1IwR6CXmsw,
"8565 Beechnut St, Houston, TX 77036",Houston,,en,29.6888425,-95.5343827,,,,,,,,,,,,,,,(518) 277-5600,19,,Texas,8565 Beechnut St,,BuildCore Roofing,https://www.google.com/maps/search/?api=1&query=BuildCore%20Roofing&query_place_id=ChIJG3RUToLDQIYRl8ccBuLGhKI,
"11665 Fuqua St # D400, Houston, TX 77034",Houston,,en,29.6199835,-95.2120271,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,Closed,Sunday,Closed,(281) 464-6444,34,,Texas,11665 Fuqua St # D400,3,C & H Roofing & Remodeling,https://www.google.com/maps/search/?api=1&query=C%20%26%20H%20Roofing%20%26%20Remodeling&query_place_id=ChIJ-UTDSsKZQIYRqTNzr_Q-KgI,
"16826 City View Pl, Houston, TX 77060",Houston,,en,29.9475353,-95.4008871,Monday,6 AM to 10 PM,Tuesday,6 AM to 10 PM,Wednesday,6 AM to 10 PM,Thursday,6 AM to 10 PM,Friday,6 AM to 10 PM,Saturday,10 AM to 10 PM,Sunday,6 AM to 10 PM,(281) 960-7761,12,,Texas,16826 City View Pl,4.9,Carlos Affordable roofing,https://www.google.com/maps/search/?api=1&query=Carlos%20Affordable%20roofing&query_place_id=ChIJpaCDveTJQIYRkHCbA5uflvM,
"S Post Oak Rd, Houston, TX 77085",Houston,,en,29.6364357,-95.4632556,Monday,7:30 AM to 6 PM,Tuesday,7:30 AM to 6 PM,Wednesday,7:30 AM to 6 PM,Thursday,7:30 AM to 6 PM,Friday,7:30 AM to 6 PM,Saturday,Closed,Sunday,Closed,(832) 701-5593,53,,Texas,S Post Oak Rd,,Cedros construction service,https://www.google.com/maps/search/?api=1&query=Cedros%20construction%20service&query_place_id=ChIJh8ox_a_rQIYRCuqi69EyVvg,
"2501 Cresline St, Houston, TX 77093",Houston,,en,29.8612029,-95.3469145,Monday,7 AM to 5 PM,Tuesday,7 AM to 5 PM,Wednesday,7 AM to 5 PM,Thursday,7 AM to 5 PM,Friday,7 AM to 5 PM,Saturday,7 AM to 3 PM,Sunday,Closed,(281) 685-8062,52,,Texas,2501 Cresline St,5,Cepeda Roofing Supply Inc,https://www.google.com/maps/search/?api=1&query=Cepeda%20Roofing%20Supply%20Inc&query_place_id=ChIJr3TMSnS5QIYRVfye-7hmXnU,
"6329 Wayne St, Houston, TX 77026",Houston,,en,29.8181223,-95.3261234,,,,,,,,,,,,,,,(832) 679-5305,57,,Texas,6329 Wayne St,,ChaveRoofing.A.,https://www.google.com/maps/search/?api=1&query=ChaveRoofing.A.&query_place_id=ChIJL4ykh4y5QIYRRuKyj_d2rMQ,
"15001 Crosswinds Dr #3602, Houston, TX 77032",Houston,,en,29.936906,-95.3138448,Monday,8 AM to 7 PM,Tuesday,8 AM to 7 PM,Wednesday,8 AM to 7 PM,Thursday,8 AM to 7 PM,Friday,8 AM to 7 PM,Saturday,8 AM to 5 PM,Sunday,Closed,(832) 647-9131,36,,Texas,15001 Crosswinds Dr #3602,,Christian Carpenter Construction Incorporated,https://www.google.com/maps/search/?api=1&query=Christian%20Carpenter%20Construction%20Incorporated&query_place_id=ChIJWRCKlCnpQIYRD3_zGC1rKaI,
"1414 Texas St, Houston, TX 77002",Houston,,en,29.7573177,-95.358615,,,,,,,,,,,,,,,(832) 483-9406,42,,Texas,1414 Texas St,3.7,Clutch City Roofing,https://www.google.com/maps/search/?api=1&query=Clutch%20City%20Roofing&query_place_id=ChIJX3pSFSS_QIYRa9PNTveaq_8,
"4290 Lockfield St, Houston, TX 77092",Houston,,en,29.8322703,-95.4871224,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(346) 670-4433,35,,Texas,4290 Lockfield St,5,Concept To Construct,https://www.google.com/maps/search/?api=1&query=Concept%20To%20Construct&query_place_id=ChIJS0z6iNTmSYkRtIYUJ39Zv84,
"8100 Washington Ave Ste 150u, Houston, TX 77007",Houston,,en,29.7817684,-95.4347888,,,,,,,,,,,,,,,(713) 482-1262,50,,Texas,8100 Washington Ave Ste 150u,3.7,Connected Energy | Tesla Solar Shingle & Power Wall Certified Installer,https://www.google.com/maps/search/?api=1&query=Connected%20Energy%20%7C%20Tesla%20Solar%20Shingle%20%26%20Power%20Wall%20Certified%20Installer&query_place_id=ChIJyzKdCHvBQIYR9Wr7IEfSZZE,
"500-598 Bremond St, Houston, TX 77006",Houston,,en,29.7484607,-95.3782464,,,,,,,,,,,,,,,(281) 628-5281,51,,Texas,500-598 Bremond St,,Cornerstone Roofing Services,https://www.google.com/maps/search/?api=1&query=Cornerstone%20Roofing%20Services&query_place_id=ChIJF6AuBgC_QIYR1vhSgsj86iA,
"13501 Hooper Rd, Houston, TX 77047",Houston,,en,29.6110588,-95.4033231,Monday,6 AM to 8 PM,Tuesday,6 AM to 8 PM,Wednesday,6 AM to 8 PM,Thursday,6 AM to 8 PM,Friday,6 AM to 8 PM,Saturday,6 AM to 8 PM,Sunday,Closed,(346) 317-8348,11,,Texas,13501 Hooper Rd,4.4,Cruz roofing & remodeling,https://www.google.com/maps/search/?api=1&query=Cruz%20roofing%20%26%20remodeling&query_place_id=ChIJg8DqDl7rQIYRsXSoTHQmycc,
"8913 Sandra St, Houston, TX 77016",Houston,,en,29.84239,-95.314106,Monday,7 AM to 10 PM,Tuesday,7 AM to 10 PM,Wednesday,7 AM to 10 PM,Thursday,7 AM to 10 PM,Friday,7 AM to 10 PM,Saturday,7 AM to 10 PM,Sunday,10 AM to 7:30 PM,(713) 497-6641,17,,Texas,8913 Sandra St,5,DG ROOFING SERVICES,https://www.google.com/maps/search/?api=1&query=DG%20ROOFING%20SERVICES&query_place_id=ChIJxQrEoja5QIYRai-MbG6po_s,
