address,city,description,language,location/lat,location/lng,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,phone,rank,price,state,street,totalScore,title,url,Competitor Website
"11551 Forest Central Dr #108, Dallas, TX 75243",Dallas,,en,32.9056178,-96.7674993,Monday,8 AM to 5 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,Closed,Sunday,Closed,(214) 373-6484,26,,Texas,11551 Forest Central Dr #108,5.0,MS Painting and Repair Company Inc.,https://www.google.com/maps/search/?api=1&query=MS%20Painting%20and%20Repair%20Company%20Inc.&query_place_id=ChIJO4ZJZBIgTIYRH9ln_v8FIzk,
"8641 Reva St, Dallas, TX 75227",Dallas,,en,32.7555227,-96.6719099,Monday,8 AM to 8 PM,Tuesday,8 AM to 8 PM,Wednesday,8 AM to 8 PM,Thursday,8 AM to 8 PM,Friday,8 AM to 8 PM,Saturday,8:30 AM to 3 PM,Sunday,Closed,(469) 774-7809,28,,Texas,8641 Reva St,,Mc contracting LLC,https://www.google.com/maps/search/?api=1&query=Mc%20contracting%20LLC&query_place_id=ChIJCTzesUqjToYRm4g7_0gD0xw,
"5445 Caruth Haven Ln #1321, Dallas, TX 75225",Dallas,Roofing and remodeling firm specializing in exterior renovations.,en,32.8630594,-96.7739414,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(214) 994-3408,12,,Texas,5445 Caruth Haven Ln #1321,4.9,Metroplex Roofing and Remodeling-MRR,https://www.google.com/maps/search/?api=1&query=Metroplex%20Roofing%20and%20Remodeling-MRR&query_place_id=ChIJ92Q8dcSeToYRl5Q0yj3XZA4,
"1932 Skillman St, Dallas, TX 75214",Dallas,,en,32.8132996,-96.7613152,Monday,8 AM to 8 PM,Tuesday,8 AM to 8 PM,Wednesday,8 AM to 8 PM,Thursday,8 AM to 8 PM,Friday,8 AM to 8 PM,Saturday,9 AM to 6 PM,Sunday,9 AM to 6 PM,(469) 663-8465,24,,Texas,1932 Skillman St,5.0,Montana Restoration Group,https://www.google.com/maps/search/?api=1&query=Montana%20Restoration%20Group&query_place_id=ChIJ76Cf9Ula54YRgNDzuHfSkIs,
"3627 Falls Dr, Dallas, TX 75211",Dallas,,en,32.7267014,-96.8804496,,,,,,,,,,,,,,,(469) 601-3784,52,,Texas,3627 Falls Dr,5.0,Multiple services,https://www.google.com/maps/search/?api=1&query=Multiple%20services&query_place_id=ChIJsbfWmpWbToYR8oIM5QzpYgs,
"6060 N Central Expy Suite: 500, Dallas, TX 75206",Dallas,"Roofing, gutter and fence installation and repair pros, with chimney work also available.",en,32.8400047,-96.774789,Monday,8 AM to 7 PM,Tuesday,8 AM to 7 PM,Wednesday,8 AM to 7 PM,Thursday,8 AM to 7 PM,Friday,8 AM to 7 PM,Saturday,8 AM to 7 PM,Sunday,Closed,(214) 417-9144,16,,Texas,6060 N Central Expy Suite: 500,5.0,Myriad Roofing & Construction LLC,https://www.google.com/maps/search/?api=1&query=Myriad%20Roofing%20%26%20Construction%20LLC&query_place_id=ChIJVVUVVyUhTIYRYsA3gtFhiIU,
"8920 Cottonvalley Rd, Dallas, TX 75232",Dallas,,en,32.6396297,-96.8298866,Monday,7 AM to 7 PM,Tuesday,7 AM to 7 PM,Wednesday,7 AM to 7 PM,Thursday,7 AM to 7 PM,Friday,7 AM to 7 PM,Saturday,7 AM to 1 PM,Sunday,Closed,(469) 855-2246,32,,Texas,8920 Cottonvalley Rd,,NJ Roofing Inc,https://www.google.com/maps/search/?api=1&query=NJ%20Roofing%20Inc&query_place_id=ChIJtTQfpbCXToYRu2NkC9fbLSM,
"8325 Forney Rd, Dallas, TX 75227",Dallas,,en,32.7782807,-96.6778787,Monday,8 AM to 5 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,Closed,Sunday,Closed,(214) 887-0550,30,,Texas,8325 Forney Rd,5.0,Nationwide Slate Clay Tile,https://www.google.com/maps/search/?api=1&query=Nationwide%20Slate%20Clay%20Tile&query_place_id=ChIJz0LqcDObToYRxYBO5qpmVBM,
"8454 Endicott Ln, Dallas, TX 75227",Dallas,,en,32.7811457,-96.6751791,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Closed,Sunday,Closed,(912) 640-3245,12,,Texas,8454 Endicott Ln,,NewPort Roofing & Building,https://www.google.com/maps/search/?api=1&query=NewPort%20Roofing%20%26%20Building&query_place_id=ChIJYRvN91-jToYRWut7j66L2os,
"3503 Wilhurt Ave, Dallas, TX 75216",Dallas,,en,32.7130293,-96.765501,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(714) 812-0657,45,,Texas,3503 Wilhurt Ave,,NexformaBuildCore,https://www.google.com/maps/search/?api=1&query=NexformaBuildCore&query_place_id=ChIJvbznugCXToYR3f2ZIHh0nbw,
"11111 N Central Expy, Dallas, TX 75243",Dallas,,en,32.9006035,-96.7698617,,,,,,,,,,,,,,,(409) 307-4483,31,,Texas,11111 N Central Expy,,Nexlith Construction,https://www.google.com/maps/search/?api=1&query=Nexlith%20Construction&query_place_id=ChIJf8AohfIhTIYRuSClup-zy20,
"10819 Garland Rd, Dallas, TX 75218",Dallas,,en,32.8457186,-96.6883492,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(227) 279-7546,9,,Texas,10819 Garland Rd,,NexoraBuildWorks,https://www.google.com/maps/search/?api=1&query=NexoraBuildWorks&query_place_id=ChIJnSwuBtuhToYR9iQkSeTpqm8,
"4703 Cole Ave, Dallas, TX 75205",Dallas,,en,32.8254012,-96.7881142,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(316) 203-9234,36,,Texas,4703 Cole Ave,,NexoraConstructCo,https://www.google.com/maps/search/?api=1&query=NexoraConstructCo&query_place_id=ChIJxTtUB_-fToYRkqeDHXcjEa4,
"1141 Whitehaven Dr, Dallas, TX 75218",Dallas,,en,32.8431029,-96.6934878,,,,,,,,,,,,,,,(227) 274-5183,29,,Texas,1141 Whitehaven Dr,,Nexvanta Construction,https://www.google.com/maps/search/?api=1&query=Nexvanta%20Construction&query_place_id=ChIJF1WUL_6hToYRoX-uocQTvyA,
"8330 Lyndon B Johnson Fwy, Dallas, TX 75243",Dallas,,en,32.9230547,-96.7598965,Monday,7 AM to 5 PM,Tuesday,7 AM to 5 PM,Wednesday,7 AM to 5 PM,Thursday,7 AM to 5 PM,Friday,7 AM to 5 PM,Saturday,7 AM to 1 PM,Sunday,Closed,(214) 962-9231,17,,Texas,8330 Lyndon B Johnson Fwy,4.0,ORTIZ ROOFING AND CONSTRUCTION LLC,https://www.google.com/maps/search/?api=1&query=ORTIZ%20ROOFING%20AND%20CONSTRUCTION%20LLC&query_place_id=ChIJuz60-RkgTIYR2xIupFCmjTU,
"7303 Neuhoff Dr, Dallas, TX 75217",Dallas,,en,32.7080812,-96.695873,Monday,6 AM to 7 PM,Tuesday,6 AM to 7 PM,Wednesday,6 AM to 7 PM,Thursday,6 AM to 7 PM,Friday,6 AM to 7 PM,Saturday,6 AM to 7 PM,Sunday,11 AM to 4 PM,(469) 664-2455,56,,Texas,7303 Neuhoff Dr,5.0,Our Own Place,https://www.google.com/maps/search/?api=1&query=Our%20Own%20Place&query_place_id=ChIJWdjA2hO9ToYRagbcPoeoGzY,
"2501 Ann Arbor Ave, Dallas, TX 75216",Dallas,,en,32.6997416,-96.7818788,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,10 AM to 1 PM,Sunday,Closed,(214) 449-1635,16,,Texas,2501 Ann Arbor Ave,,Patriot Roofing Services,https://www.google.com/maps/search/?api=1&query=Patriot%20Roofing%20Services&query_place_id=ChIJ03FKOlSXToYR0gsHMOOZhyc,
"7015 Greenville Ave suite 150, Dallas, TX 75231",Dallas,,en,32.8738323,-96.7635686,Monday,8 AM to 5 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,8 AM to 5 PM,Sunday,Closed,(214) 649-5993,6,,Texas,7015 Greenville Ave suite 150,5.0,Pitched Roofing,https://www.google.com/maps/search/?api=1&query=Pitched%20Roofing&query_place_id=ChIJ78P-TACfToYR2cQN77_0pnE,
"1718 Whittier Ave, Dallas, TX 75218",Dallas,,en,32.8146094,-96.7084939,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,10 AM to 1 PM,Sunday,Closed,(214) 513-3891,15,,Texas,1718 Whittier Ave,,Prime Roofing Co,https://www.google.com/maps/search/?api=1&query=Prime%20Roofing%20Co&query_place_id=ChIJqbfdSKuhToYR6LDL2-TwI2o,
"4444 W Illinois Ave, Dallas, TX 75211",Dallas,,en,32.7189948,-96.8931117,Monday,8 AM to 5 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,Closed,Sunday,Closed,(214) 513-3891,27,,Texas,4444 W Illinois Ave,,Prime Roofing Co,https://www.google.com/maps/search/?api=1&query=Prime%20Roofing%20Co&query_place_id=ChIJFVD2n2ubToYR60zB3LQinds,
"1803 Cassia Dr, Dallas, TX 75232",Dallas,,en,32.6873204,-96.8510762,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(214) 643-8864,38,,Texas,1803 Cassia Dr,,Priority Roof Repair,https://www.google.com/maps/search/?api=1&query=Priority%20Roof%20Repair&query_place_id=ChIJq6oeM8eQToYR_5_edsrPWbc,
"3042 Britton Ave, Dallas, TX 75216",Dallas,,en,32.7090579,-96.8050207,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,9 AM to 5 PM,Sunday,9 AM to 5 PM,(469) 423-9330,83,,Texas,3042 Britton Ave,,Professional Business center,https://www.google.com/maps/search/?api=1&query=Professional%20Business%20center&query_place_id=ChIJy4_R9UKXToYRru5YOYpaLbE,
"2922 E Illinois Ave #204, Dallas, TX 75216",Dallas,,en,32.7161897,-96.7776588,Monday,8 AM to 5 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,Closed,Sunday,Closed,(469) 415-7886,26,,Texas,2922 E Illinois Ave #204,,Pure Roofing,https://www.google.com/maps/search/?api=1&query=Pure%20Roofing&query_place_id=ChIJiefcom2ZToYR56GSOEr4hAI,
"2502 Oakdale Ave, Dallas, TX 75241",Dallas,,en,32.6753116,-96.7830175,Monday,12 AM to 11:30 PM,Tuesday,12 AM to 11:30 PM,Wednesday,12 AM to 11:30 PM,Thursday,12 AM to 11:30 PM,Friday,12 AM to 11:30 PM,Saturday,Closed,Sunday,Closed,(214) 573-3844,54,,Texas,2502 Oakdale Ave,4.3,R and J Contracting,https://www.google.com/maps/search/?api=1&query=R%20and%20J%20Contracting&query_place_id=ChIJ-53R3K2XToYRoQBkgn0VHwA,
"Dallas, TX 75240",Dallas,,en,32.9309572,-96.794764,,,,,,,,,,,,,,,(972) 458-8515,28,,Texas,,,RCI Roofing,https://www.google.com/maps/search/?api=1&query=RCI%20Roofing&query_place_id=ChIJAQAAAPkgTIYRGUdgS1pjoFA,
"1706 W 10th St, Dallas, TX 75208",Dallas,,en,32.7450825,-96.8481076,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,9 AM to 5 PM,Sunday,9 AM to 5 PM,(586) 352-9322,20,,Texas,1706 W 10th St,5.0,RidgePoint Roofing Dallas,https://www.google.com/maps/search/?api=1&query=RidgePoint%20Roofing%20Dallas&query_place_id=ChIJm16CTQCbToYRTg3oEpBV7Nk,
"6200 Lyndon B Johnson Fwy #5700, Dallas, TX 75240",Dallas,"Company providing services such as skylight, gutter and roof repairs, along with attic venting.",en,32.9238646,-96.7990986,Monday,8 AM to 8 PM,Tuesday,8 AM to 8 PM,Wednesday,8 AM to 8 PM,Thursday,8 AM to 8 PM,Friday,8 AM to 8 PM,Saturday,8 AM to 8 PM,Sunday,8 AM to 8 PM,(469) 309-6528,14,,Texas,6200 Lyndon B Johnson Fwy #5700,5.0,Ritter Brothers Roofing & Remodeling,https://www.google.com/maps/search/?api=1&query=Ritter%20Brothers%20Roofing%20%26%20Remodeling&query_place_id=ChIJN34GTRshTIYR4eCMfGbrsJ8,
"5814 Harvest Hill Rd, Dallas, TX 75230",Dallas,,en,32.9222694,-96.8070716,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Closed,Sunday,Closed,,24,,Texas,5814 Harvest Hill Rd,5.0,Ronco Services LLC,https://www.google.com/maps/search/?api=1&query=Ronco%20Services%20LLC&query_place_id=ChIJITK6VBIhTIYRIQZdoiYZdQ0,
"1112 S Hampton Rd, Dallas, TX 75208",Dallas,,en,32.7341188,-96.8567125,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(214) 646-9638,29,,Texas,1112 S Hampton Rd,,Roof Repair Solutions,https://www.google.com/maps/search/?api=1&query=Roof%20Repair%20Solutions&query_place_id=ChIJQ_AdAUCaToYRB7LCImQt0OU,
"10027 Everton Pl, Dallas, TX 75217",Dallas,,en,32.7033441,-96.6510583,Monday,7 AM to 7 PM,Tuesday,7 AM to 7 PM,Wednesday,7 AM to 7 PM,Thursday,7 AM to 7 PM,Friday,7 AM to 7 PM,Saturday,10 AM to 3 PM,Sunday,Closed,(214) 299-3780,51,,Texas,10027 Everton Pl,,Roofing Claim 1979 Restoration.,https://www.google.com/maps/search/?api=1&query=Roofing%20Claim%201979%20Restoration.&query_place_id=ChIJZRWRpgM1UisR3ARF5laqQRI,
"4039 Ambrose Dr, Dallas, TX 75241",Dallas,,en,32.6746518,-96.7524303,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(469) 508-4462,6,,Texas,4039 Ambrose Dr,4.3,Roofing Figueroa Contractor,https://www.google.com/maps/search/?api=1&query=Roofing%20Figueroa%20Contractor&query_place_id=ChIJbX0fZUyXToYR4FFtx65Cdag,
"318 Avenue H, Dallas, TX 75203",Dallas,,en,32.7456337,-96.7920626,,,,,,,,,,,,,,,,46,,Texas,318 Avenue H,,Roofing H,https://www.google.com/maps/search/?api=1&query=Roofing%20H&query_place_id=ChIJUeh7aACZToYRnSm0p-lTm_k,
"8315 C F Hawn Fwy, Dallas, TX 75217",Dallas,,en,32.7093517,-96.6787627,Monday,7:30 AM to 5:30 PM,Tuesday,7:30 AM to 5:30 PM,Wednesday,7:30 AM to 5:30 PM,Thursday,7:30 AM to 5:30 PM,Friday,7:30 AM to 5:30 PM,Saturday,7:30 AM to 2 PM,Sunday,Closed,(214) 554-5774,10,,Texas,8315 C F Hawn Fwy,4.2,Roofing Hidalgo LLC,https://www.google.com/maps/search/?api=1&query=Roofing%20Hidalgo%20LLC&query_place_id=ChIJDUDmlTKjToYRtF32RKhV0vg,
"1808 Jefferson Blvd B, Dallas, TX 75208",Dallas,,en,32.7456441,-96.8494798,Monday,8:30 AM to 4 PM,Tuesday,8:30 AM to 4 PM,Wednesday,8:30 AM to 4 PM,Thursday,8:30 AM to 4 PM,Friday,8:30 AM to 4 PM,Saturday,Closed,Sunday,Closed,(469) 399-1001,39,,Texas,1808 Jefferson Blvd B,4.0,Royal Remodeling LLC,https://www.google.com/maps/search/?api=1&query=Royal%20Remodeling%20LLC&query_place_id=ChIJN6uY3D-bToYRFkdpgni4mX0,
"1309 Main St, Dallas, TX 75202",Dallas,,en,32.7806067,-96.8006479,Monday,8 AM to 8 PM,Tuesday,8 AM to 8 PM,Wednesday,8 AM to 8 PM,Thursday,8 AM to 8 PM,Friday,8 AM to 8 PM,Saturday,Closed,Sunday,Closed,(832) 220-2651,65,,Texas,1309 Main St,4.1,Royal Renovations,https://www.google.com/maps/search/?api=1&query=Royal%20Renovations&query_place_id=ChIJxVQlZxiZToYR2vjTMyqo3dM,
"1827 Richardson Ave, Dallas, TX 75215",Dallas,,en,32.7696524,-96.7829254,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,10 AM to 1 PM,Sunday,Closed,(214) 449-1729,17,,Texas,1827 Richardson Ave,5.0,Ruiz Roofing Services,https://www.google.com/maps/search/?api=1&query=Ruiz%20Roofing%20Services&query_place_id=ChIJQRuhctuZToYRV2G18vweK0I,
"2005 Vatican Ln, Dallas, TX 75224",Dallas,,en,32.6940072,-96.8523782,Monday,8 AM to 7 PM,Tuesday,8 AM to 7 PM,Wednesday,8 AM to 7 PM,Thursday,8 AM to 7 PM,Friday,8 AM to 7 PM,Saturday,9 AM to 3 PM,Sunday,Closed,(214) 882-5100,54,,Texas,2005 Vatican Ln,5.0,S & W Construction,https://www.google.com/maps/search/?api=1&query=S%20%26%20W%20Construction&query_place_id=ChIJoRPTor6QToYRolpUvIv_MEE,
"1718 Exeter Ave, Dallas, TX 75216",Dallas,,en,32.6964099,-96.7992203,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 PM,Thursday,9 AM to 5 PM,Friday,9 AM to 3 PM,Saturday,9 AM to 4:30 PM,Sunday,12 AM to 4 PM,(469) 487-4902,47,,Texas,1718 Exeter Ave,5.0,Sanchez Concrete & handyman,https://www.google.com/maps/search/?api=1&query=Sanchez%20Concrete%20%26%20handyman&query_place_id=ChIJjZBKi96XToYRegvaQaLnsNc,
"8222 Arlene Ln, Dallas, TX 75217",Dallas,,en,32.6914893,-96.6808326,Monday,6 AM to 6 PM,Tuesday,6 AM to 6 PM,Wednesday,6 AM to 6 PM,Thursday,6 AM to 6 PM,Friday,6 AM to 6 PM,Saturday,7 AM to 3 PM,Sunday,Closed,(214) 477-4249,34,,Texas,8222 Arlene Ln,5.0,Sanchez General Construction and Remodeling,https://www.google.com/maps/search/?api=1&query=Sanchez%20General%20Construction%20and%20Remodeling&query_place_id=ChIJG_96ZNm9ToYRu6Eh3ZSXjkQ,
"3430 Rich Acres Dr, Dallas, TX 75253",Dallas,,en,32.6595084,-96.6243791,Monday,6 AM to 10 PM,Tuesday,6 AM to 10 PM,Wednesday,6 AM to 10 PM,Thursday,6 AM to 10 PM,Friday,6 AM to 10 PM,Saturday,6 AM to 10 PM,Sunday,Closed,(346) 321-1069,50,,Texas,3430 Rich Acres Dr,5.0,Sandoval Servicing LLC,https://www.google.com/maps/search/?api=1&query=Sandoval%20Servicing%20LLC&query_place_id=ChIJgS1nRye7ToYRrMQBdoMktbs,
"4577 Mint Way, Dallas, TX 75236",Dallas,,en,32.6860331,-96.8955796,Monday,7:30 AM to 5 PM,Tuesday,7:30 AM to 5 PM,Wednesday,7:30 AM to 5 PM,Thursday,7:30 AM to 5 PM,Friday,7:30 AM to 5 PM,Saturday,Closed,Sunday,Closed,(214) 914-4111,55,,Texas,4577 Mint Way,3.0,Santide Roofing Supply & Lumber,https://www.google.com/maps/search/?api=1&query=Santide%20Roofing%20Supply%20%26%20Lumber&query_place_id=ChIJ06TZwkGQToYRyrT35LE-oFI,
"3106 Seevers Ave, Dallas, TX 75216",Dallas,,en,32.7072505,-96.8216187,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Closed,(469) 648-9597,9,,Texas,3106 Seevers Ave,5.0,Saviour Roofing LLC,https://www.google.com/maps/search/?api=1&query=Saviour%20Roofing%20LLC&query_place_id=ChIJ13RgFvKXToYR1DZNET49ZGo,
"158 Farmers Rd, Dallas, TX 75201",Dallas,,en,32.7778674,-96.7884749,Monday,9 AM to 6 PM,Tuesday,9 AM to 6 PM,Wednesday,9 AM to 6 PM,Thursday,9 AM to 6 PM,Friday,9 AM to 6 PM,Saturday,Closed,Sunday,Closed,(682) 213-6994,43,,Texas,158 Farmers Rd,5.0,Silver Creek Roofing Services,https://www.google.com/maps/search/?api=1&query=Silver%20Creek%20Roofing%20Services&query_place_id=ChIJ52HURLGZToYR2hJooHsh_O0,
"2003 Greenville Ave, Dallas, TX 75206",Dallas,,en,32.8149633,-96.7705806,,,,,,,,,,,,,,,(281) 628-5286,26,,Texas,2003 Greenville Ave,,SolidLine Roofing Co.,https://www.google.com/maps/search/?api=1&query=SolidLine%20Roofing%20Co.&query_place_id=ChIJg5TcVwCfToYRcFwtem1gvZE,
"13601 Preston Rd w537, Dallas, TX 75240",Dallas,,en,32.9333937,-96.8067365,Monday,8 AM to 5 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,8 AM to 5 PM,Sunday,Closed,(800) 705-2150,17,,Texas,13601 Preston Rd w537,,Spectrum Contracting,https://www.google.com/maps/search/?api=1&query=Spectrum%20Contracting&query_place_id=ChIJ5Sh0jOMgTIYRfCsDfnlNSjU,
"10306 Elam Rd, Dallas, TX 75217",Dallas,,en,32.7192369,-96.6467333,Monday,8 AM to 6 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,8 AM to 5 PM,Sunday,8 AM to 6 PM,(469) 880-6138,42,,Texas,10306 Elam Rd,5.0,Star Legacy Contractors,https://www.google.com/maps/search/?api=1&query=Star%20Legacy%20Contractors&query_place_id=ChIJFyuNG7ekU4YRPUOgnv_M1kU,
"4639 Bonnie View Rd, Dallas, TX 75216",Dallas,,en,32.701819,-96.7715885,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(769) 357-3682,39,,Texas,4639 Bonnie View Rd,,StructoraBuildPrime,https://www.google.com/maps/search/?api=1&query=StructoraBuildPrime&query_place_id=ChIJuyyXsqmXToYRvjIIhltwZeg,
"Greenville Ave, Dallas, TX 75206",Dallas,,en,32.8365181,-96.7701105,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(804) 467-6945,30,,Texas,Greenville Ave,,SummitStone Construction,https://www.google.com/maps/search/?api=1&query=SummitStone%20Construction&query_place_id=ChIJlWy1jYqfToYR55T1aWjQVjg,
"115 W Ohio Ave, Dallas, TX 75224",Dallas,,en,32.7197303,-96.8235648,Monday,8 AM to 5 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,8 AM to 12 PM,Sunday,Closed,(214) 723-3544,79,,Texas,115 W Ohio Ave,5.0,"Texas Mechanical Services, LLC",https://www.google.com/maps/search/?api=1&query=Texas%20Mechanical%20Services%2C%20LLC&query_place_id=ChIJGfcuVoiZToYR5kSHI4BxBAQ,
"8434 Cadenza Ln, Dallas, TX 75228",Dallas,Roofing contractor specializing in insurance claims and offering services such as siding installation.,en,32.8096817,-96.6799981,Monday,9 AM to 5 PM,Tuesday,9 AM to 5 PM,Wednesday,9 AM to 5 AM,Thursday,9 AM to 5 PM,Friday,9 AM to 5 PM,Saturday,9 AM to 5 PM,Sunday,Closed,(972) 467-8417,10,,Texas,8434 Cadenza Ln,4.8,Thunderstorm Roofing & Construction,https://www.google.com/maps/search/?api=1&query=Thunderstorm%20Roofing%20%26%20Construction&query_place_id=ChIJ8ZyvlaGjToYR_r_lsspULV0,
"625 S Hampton Rd, Dallas, TX 75208",Dallas,,en,32.7393024,-96.8570364,Monday,8 AM to 7 PM,Tuesday,8 AM to 7 PM,Wednesday,8 AM to 7 PM,Thursday,8 AM to 7 PM,Friday,8 AM to 7 PM,Saturday,8 AM to 7 PM,Sunday,Closed,(214) 225-9062,31,,Texas,625 S Hampton Rd,2.3,Top Tier Roofing,https://www.google.com/maps/search/?api=1&query=Top%20Tier%20Roofing&query_place_id=ChIJzVZzwtWbToYRTbEzUoxTz4w,
"13327 Forestway Dr, Dallas, TX 75240",Dallas,,en,32.9310316,-96.8020016,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,(972) 992-9038,15,,Texas,13327 Forestway Dr,5.0,Top Tier Roofing Contractors,https://www.google.com/maps/search/?api=1&query=Top%20Tier%20Roofing%20Contractors&query_place_id=ChIJAQBwJPsgTIYR5IC0PHpG9GA,
"4071 Shilling Way, Dallas, TX 75237",Dallas,,en,32.6900271,-96.8855784,Monday,7 AM to 4 PM,Tuesday,7 AM to 4 PM,Wednesday,7 AM to 4 PM,Thursday,7 AM to 4 PM,Friday,7 AM to 4 PM,Saturday,Closed,Sunday,Closed,(214) 330-7453,64,,Texas,4071 Shilling Way,5.0,Total Metal Products,https://www.google.com/maps/search/?api=1&query=Total%20Metal%20Products&query_place_id=ChIJv5laAmeQToYRvj2io95Yv6E,
"8330 Lyndon B Johnson Fwy b656, Dallas, TX 75243",Dallas,,en,32.9230547,-96.7598965,Monday,8 AM to 5 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,9 AM to 3 PM,Sunday,Closed,(214) 730-5466,7,,Texas,8330 Lyndon B Johnson Fwy b656,4.9,Trustar Roofing & Construction,https://www.google.com/maps/search/?api=1&query=Trustar%20Roofing%20%26%20Construction&query_place_id=ChIJc3uuidohTIYREWqhNvQxe2U,
"2519 E 11th St, Dallas, TX 75203",Dallas,,en,32.7466793,-96.7911104,Monday,7 AM to 6 PM,Tuesday,7 AM to 6 PM,Wednesday,7 AM to 6 PM,Thursday,7 AM to 6 PM,Friday,7 AM to 6 PM,Saturday,7 AM to 6 PM,Sunday,Closed,(214) 946-3300,40,,Texas,2519 E 11th St,4.5,Uncle Güero Home Improvement LLC,https://www.google.com/maps/search/?api=1&query=Uncle%20G%C3%BCero%20Home%20Improvement%20LLC&query_place_id=ChIJw-hrZcmZToYR54NBUiNuIm8,
